Товар;Категория
Брынза (сыр из коровьего молока);Молоко и молочные продукты
Йогурт натуральный. 2% жир.;Молоко и молочные продукты
Кефир 3,2% жирный;Молоко и молочные продукты
Кефир 1% нежирный;Молоко и молочные продукты
Молоко 3,2%;Молоко и молочные продукты
Молоко 2,5%;Молоко и молочные продукты
Молоко сгущенное без сахара;Молоко и молочные продукты
Молоко сгущённое с сахаром;Молоко и молочные продукты
Молоко сухое цельное;Молоко и молочные продукты
Простокваша 2,5%;Молоко и молочные продукты
Ряженка 2,5%;Молоко и молочные продукты
Сливки 10% (нежирные);Молоко и молочные продукты
Сливки 20% (средней жирности);Молоко и молочные продукты
Сметана 10% (нежирная);Молоко и молочные продукты
Сметана 20% (средней жирности);Молоко и молочные продукты
Сыр голландский;Молоко и молочные продукты
Сыр плавленый;Молоко и молочные продукты
Сыр пошехонский;Молоко и молочные продукты
Сыр российский;Молоко и молочные продукты
Сыр швейцарский;Молоко и молочные продукты
Творожная масса;Молоко и молочные продукты
Творог обезжиренный;Молоко и молочные продукты
Творог 5% нежирный ;Молоко и молочные продукты
Творог 9% полужирный;Молоко и молочные продукты
Баранки;Хлеб и хлебобулочные изделия
Мука пшеничная 1-го сорта;Хлеб и хлебобулочные изделия
Мука пшеничная 2-го сорта;Хлеб и хлебобулочные изделия
Мука пшеничная высш. сорт;Хлеб и хлебобулочные изделия
Мука ржаная сеяная;Хлеб и хлебобулочные изделия
Сухари к чаю;Хлеб и хлебобулочные изделия
Сушки маковые;Хлеб и хлебобулочные изделия
Хлеб пшеничный;Хлеб и хлебобулочные изделия
Хлеб ржаной;Хлеб и хлебобулочные изделия
Батон нарезной;Хлеб и хлебобулочные изделия
Батон подмосковный;Хлеб и хлебобулочные изделия
Жир кондитерский ;Жиры, масло и маргарин
Майонез провансаль;Жиры, масло и маргарин
Маргарин столовый 40%;Жиры, масло и маргарин
Маргарин молочный;Жиры, масло и маргарин
Масло растительное;Жиры, масло и маргарин
Масло сливочное 72,5%;Жиры, масло и маргарин
Масло тсливочное 82%;Жиры, масло и маргарин
Масло пальмовое;Жиры, масло и маргарин
Геркулес;Крупы
Гречневая крупа (продел);Крупы
Гречневая крупа ядрица (гречка);Крупы
Кукурузная крупа;Крупы
Манная крупа;Крупы
Овсяная крупа;Крупы
Перловая крупа;Крупы
Пшеничная крупа;Крупы
Пшенная крупа;Крупы
Рис белый;Крупы
Толокно;Крупы
Ячневая;Крупы
Баклажан;Овощи
Брюква;Овощи
Горошек зеленый;Овощи
Зеленая фасоль;Овощи
Кабачки;Овощи
Капуста белокочанная;Овощи
Капуста краснокочанная;Овощи
Капуста цветная;Овощи
Картофель;Овощи
Лук зеленый (перо);Овощи
Лук порей;Овощи
Лук репчатый;Овощи
Морковь;Овощи
Огурцы грунтовые;Овощи
Огурцы парниковые;Овощи
Перец жёлтый сладкий;Овощи
Перец зеленый сладкий;Овощи
Перец красный сладкий;Овощи
Петрушка (зелень);Овощи
Петрушка (корень);Овощи
Ревень (черешковый);Овощи
Редис;Овощи
Редька;Овощи
Салат;Овощи
Свекла;Овощи
Томаты (помидоры);Овощи
Черемша;Овощи
Чеснок;Овощи
Шпинат;Овощи
Щавель;Овощи
Абрикосы;Фрукты
Айва;Фрукты
Алыча;Фрукты
Ананас;Фрукты
Бананы;Фрукты
Вишня;Фрукты
Гранат;Фрукты
Груша;Фрукты
Инжир;Фрукты
Персики;Фрукты
Слива садовая;Фрукты
Финики;Фрукты
Хурма;Фрукты
Черешня;Фрукты
Яблоки;Фрукты
Апельсин;Фрукты
Грейпфрут;Фрукты
Лимон;Фрукты
Мандарин;Фрукты
Виноград;Фрукты
Ежевика;Фрукты
Земляника;Фрукты
Клюква;Фрукты
Крыжовник;Фрукты
Малина;Фрукты
Смородина белая;Фрукты
Смородина черная;Фрукты
Черника;Фрукты
Шиповник свежий;Фрукты
Шиповник сушеный;Фрукты
Урюк;Сухофрукты
Курага;Сухофрукты
Изюм с косточкой;Сухофрукты
Изюм кишмиш;Сухофрукты
Вишня;Сухофрукты
Груша;Сухофрукты
Персики;Сухофрукты
Чернослив;Сухофрукты
Яблоки;Сухофрукты
Бобы;Бобовые
Горох лущеный;Бобовые
Горох цельный;Бобовые
Соя;Бобовые
Фасоль;Бобовые
Чечевица;Бобовые
Белые свежие;Грибы
Белые сушеные;Грибы
Подберезовики свежие;Грибы
Подосиновики свежие;Грибы
Баранина;Мясо, птица и субпродукты
Говядина;Мясо, птица и субпродукты
Конина;Мясо, птица и субпродукты
Кролик;Мясо, птица и субпродукты
Свинина нежирная;Мясо, птица и субпродукты
Свинина жирная;Мясо, птица и субпродукты
Телятина;Мясо, птица и субпродукты
Говяжья Печень;Мясо, птица и субпродукты
Говяжьи Почки;Мясо, птица и субпродукты
Говяжье Вымя;Мясо, птица и субпродукты
Говяжье Сердце;Мясо, птица и субпродукты
Говяжий Язык;Мясо, птица и субпродукты
Почки свиные;Мясо, птица и субпродукты
Печень свиная;Мясо, птица и субпродукты
Сердце свиное;Мясо, птица и субпродукты
Язык свиной;Мясо, птица и субпродукты
Гуси;Мясо, птица и субпродукты
Индейка;Мясо, птица и субпродукты
Куры;Мясо, птица и субпродукты
Цыплята;Мясо, птица и субпродукты
Утки;Мясо, птица и субпродукты
Вареная колбаса Диабетическая;Колбаса
Вареная колбаса Диетическая;Колбаса
Вареная колбаса Докторская;Колбаса
Вареная колбаса Любительская;Колбаса
Вареная колбаса Молочная;Колбаса
Вареная колбаса Отдельная;Колбаса
Вареная колбаса Телячья;Колбаса
Сардельки Свиные;Колбаса
Сосиски Молочные;Колбаса
Сосиски Русские;Колбаса
Сосиски Свиные;Колбаса
Варено-копченая Любительская;Колбаса
Варено-копченая Сервелат;Колбаса
Полукопченая Краковская;Колбаса
Полукопченая Минская;Колбаса
Полукопченая Полтавская;Колбаса
Полукопченая Украинская;Колбаса
Сырокопченая Любительская;Колбаса
Сырокопченая Московская;Колбаса
Говядина тушеная;Мясные консервы и копчености
