Товар;Белки;Жиры;Углеводы;Калорийность
Брынза (сыр из коровьего молока);17,90;20,10;0,00;260,00
Йогурт натуральный. 2% жир.;4,30;2,00;6,20;60,00
Кефир 3,2% жирный;2,80;3,20;4,10;56,00
Кефир 1% нежирный;2,80;1,00;4,00;40,00
Молоко 3,2%;2,90;3,20;4,70;59,00
Молоко 2,5%;2,80;2,50;4,70;52,00
Молоко сгущенное без сахара;6,60;7,50;9,40;131,00
Молоко сгущённое с сахаром;7,20;8,50;56,00;320,00
Молоко сухое цельное;26,00;25,00;37,50;476,00
Простокваша 2,5%;2,90;2,50;4,10;53,00
Ряженка 2,5%;2,90;2,50;4,20;54,00
Сливки 10% (нежирные);3,00;10,00;4,00;118,00
Сливки 20% (средней жирности);2,80;20,00;3,70;205,00
Сметана 10% (нежирная);3,00;10,00;2,90;115,00
Сметана 20% (средней жирности);2,80;20,00;3,20;206,00
Сыр голландский;26,00;26,80;0,00;352,00
Сыр плавленый;16,80;11,20;23,80;257,00
Сыр пошехонский;26,00;26,50;0,00;350,00
Сыр российский;24,10;29,50;0,30;363,00
Сыр швейцарский;24,90;31,80;0,00;396,00
Творожная масса;7,10;23,00;27,50;341,00
Творог обезжиренный;16,50;0,00;1,30;71,00
Творог 5% нежирный ;17,20;5,00;1,80;121,00
Творог 9% полужирный;16,70;9,00;2,00;159,00
Баранки;16,00;1,00;70,00;366,00
Мука пшеничная 1-го сорта;10,60;1,30;67,60;331,00
Мука пшеничная 2-го сорта;11,70;1,80;63,70;324,00
Мука пшеничная высш. сорт;10,30;1,10;68,90;334,00
Мука ржаная сеяная;6,90;1,40;67,30;304,00
Сухари к чаю;10,00;2,30;73,80;397,00
Сушки маковые;11,30;4,40;70,50;372,00
Хлеб пшеничный;8,10;1,00;48,80;242,00
Хлеб ржаной;13,00;3,00;40,00;250,00
Батон нарезной;7,50;2,90;50,90;264,00
Батон подмосковный;7,50;2,60;50,60;261,00
Жир кондитерский ;0,00;99,80;0,00;897,00
Майонез провансаль;3,10;67,00;2,60;624,00
Маргарин столовый 40%;0,00;40,00;0,00;360,00
Маргарин молочный;0,30;82,00;1,00;743,00
Масло растительное;0,00;99,00;0,00;899,00
Масло сливочное 72,5%;1,00;72,50;1,40;662,00
Масло тсливочное 82%;0,70;82,00;0,70;740,00
Масло пальмовое;0,00;99,90;0,00;899,00
Геркулес;12,50;6,20;61,00;352,00
Гречневая крупа (продел);9,50;2,30;65,90;306,00
Гречневая крупа ядрица (гречка);12,60;3,30;62,10;313,00
Кукурузная крупа;8,30;1,20;75,00;337,00
Манная крупа;10,30;1,00;67,40;328,00
Овсяная крупа;12,30;6,10;59,50;342,00
Перловая крупа;9,30;1,10;73,70;320,00
Пшеничная крупа;11,50;1,30;62,00;316,00
Пшенная крупа;11,50;3,30;69,30;348,00
Рис белый;6,70;0,70;78,90;344,00
Толокно;12,50;6,00;64,90;363,00
Ячневая;10,40;1,30;66,30;324,00
Баклажан;1,20;0,10;4,50;24,00
Брюква;1,20;0,10;7,70;37,00
Горошек зеленый;5,00;0,20;13,80;73,00
Зеленая фасоль;4,00;0,00;4,30;32,00
Кабачки;0,60;0,30;4,60;24,00
Капуста белокочанная;1,80;0,10;4,70;27,00
Капуста краснокочанная;1,80;0,00;7,60;24,00
Капуста цветная;2,50;0,30;5,40;30,00
Картофель;2,00;0,40;16,10;76,00
Лук зеленый (перо);1,30;0,00;4,60;19,00
Лук порей;2,00;0,00;8,20;33,00
Лук репчатый;1,40;0,00;10,40;47,00
Морковь;1,30;0,10;6,90;32,00
Огурцы грунтовые;0,80;0,10;2,80;15,00
Огурцы парниковые;0,70;0,00;1,80;10,00
Перец жёлтый сладкий;1,30;0,00;5,30;27,00
Перец зеленый сладкий;1,30;0,00;6,90;33,00
Перец красный сладкий;1,30;0,00;5,30;27,00
Петрушка (зелень);3,70;0,00;8,10;45,00
Петрушка (корень);1,50;0,00;11,00;47,00
Ревень (черешковый);0,70;0,00;2,90;16,00
Редис;1,20;0,10;3,40;19,00
Редька;1,90;0,00;7,00;34,00
Салат;1,50;0,00;2,20;14,00
Свекла;1,50;0,10;8,80;43,00
Томаты (помидоры);1,10;0,20;3,70;20,00
Черемша;2,40;0,10;6,50;34,00
Чеснок;6,50;0,50;29,90;143,00
Шпинат;2,90;0,30;2,00;22,00
Щавель;1,50;0,00;2,90;19,00
Абрикосы;0,90;0,00;9,00;44,00
Айва;0,60;0,00;9,80;40,00
Алыча;0,20;0,00;6,90;27,00
Ананас;0,40;0,00;10,60;49,00
Бананы;1,50;0,00;21,80;95,00
Вишня;0,80;0,00;11,30;49,00
Гранат;0,90;0,00;11,80;52,00
Груша;0,40;0,00;10,70;42,00
Инжир;0,70;0,00;13,90;56,00
Персики;0,90;0,00;10,40;44,00
Слива садовая;0,80;0,00;9,90;43,00
Финики;2,50;0,00;72,10;281,00
Хурма;0,50;0,00;15,90;62,00
Черешня;1,10;0,00;12,30;52,00
Яблоки;0,40;0,00;11,30;46,00
Апельсин;0,90;0,00;8,40;38,00
Грейпфрут;0,90;0,00;7,30;35,00
Лимон;0,90;0,00;3,60;31,00
Мандарин;0,80;0,00;8,60;38,00
Виноград;0,40;0,00;17,50;69,00
Ежевика;2,00;0,00;5,30;33,00
Земляника;1,80;0,00;8,10;41,00
Клюква;0,50;0,00;4,80;28,00
Крыжовник;0,70;0,00;9,90;44,00
Малина;0,80;0,00;9,00;41,00
Смородина белая;0,30;0,00;8,70;39,00
Смородина черная;1,00;0,00;8,00;40,00
Черника;1,10;0,00;8,60;40,00
Шиповник свежий;1,60;0,00;24,00;101,00
Шиповник сушеный;4,00;0,00;60,00;253,00
Урюк;5,00;0,00;67,50;278,00
Курага;5,20;0,00;65,90;272,00
Изюм с косточкой;1,80;0,00;70,90;276,00
Изюм кишмиш;2,30;0,00;71,20;279,00
Вишня;1,50;0,00;73,00;292,00
Груша;2,30;0,00;62,10;246,00
Персики;3,00;0,00;68,50;275,00
Чернослив;2,30;0,00;65,60;264,00
Яблоки;3,20;0,00;68,00;273,00
Бобы;6,00;0,10;8,30;58,00
Горох лущеный;23,00;1,60;57,70;323,00
Горох цельный;23,00;1,20;53,30;303,00
Соя;34,90;17,30;26,50;395,00
Фасоль;22,30;1,70;54,50;309,00
Чечевица;24,80;1,10;53,70;310,00
Белые свежие;3,20;0,70;1,60;25,00
Белые сушеные;27,60;6,80;10,00;209,00
Подберезовики свежие;2,30;0,90;3,70;31,00
Подосиновики свежие;3,30;0,50;3,40;31,00
Баранина;16,30;15,30;0,00;203,00
Говядина;18,90;12,40;0,00;187,00
Конина;20,20;7,00;0,00;143,00
Кролик;20,70;12,90;0,00;199,00
Свинина нежирная;16,40;27,80;0,00;316,00
Свинина жирная;11,40;49,30;0,00;489,00
Телятина;19,70;1,20;0,00;90,00
Говяжья Печень;17,40;3,10;0,00;98,00
Говяжьи Почки;12,50;1,80;0,00;66,00
Говяжье Вымя;12,30;13,70;0,00;173,00
